TransactionId,TransactionType
28020317,2
28020316,2
28020315,2
28020314,2
28020313,2
28020312,2
28020311,2
28020310,2
28020309,2
28020308,2
28020307,2
28020306,2
28020305,2
28020302,2
28020301,2
28020300,2
28020297,2
28020296,2
28020295,2
28020294,2
28020293,2
28020292,2
28020291,2
28020290,2
28020289,2
28020288,2
28020287,2
28020286,2
28020285,2
28020284,2
28020283,2
28020282,2
28020281,2
28020280,2
28020279,2
28020278,2
28020277,2
28020276,2
28020275,2
28020274,2
28020273,2
28020272,2
28020271,2
28020270,2
28020269,2
28020268,2
28020267,2
28020266,2
28020265,2
28020264,2
28020263,2
28020262,2
28020261,2
28020260,2
28020259,2
28020258,2
28020257,2
28020256,2
28020255,2
28020254,2
28020253,2
28020252,2
28020251,2
28020250,2
28020249,2
28020248,2
28020247,2
28020246,2
28020245,2
28020244,2
28020243,2
28020242,2
28020241,2
28020240,2
28020239,2
28020238,2
28020237,2
28020236,2
28020235,2
28020234,2
28020233,2
28020232,2
28020230,2
28020229,2
28020228,2
28020227,2
28020226,2
28020225,2
28020224,2
28020223,2
28020222,2
28020221,2
28020220,2
28020219,2
28020218,2
28020217,2
28020216,2
28020215,2
28020214,2
28020213,2
28020212,2
28020211,2
28020210,2
28020209,2
28020208,2
28020207,2
28020206,2
28020205,2
28020204,2
28020203,2
28020202,2
28020201,2
28020200,2
28020199,2
28020198,2
28020197,2
28020196,2
28020195,2
28020194,2
28020193,2
28020192,2
28020191,2
28020190,2
28020189,2
28020188,2
28020187,2
28020186,2
28020185,2
28020184,2
28020183,2
28020182,2
28020181,2
28020180,2
28020179,2
28020178,2
28020177,2
28020176,2
28020175,2
28020174,2
28020173,2
28020172,2
28020171,2
28020170,2
28020169,2
28020168,2
28020167,2
28020166,2
28020165,2
28020164,2
28020163,2
28020162,2
28020161,2
28020160,2
28020159,2
28020158,2
28020157,2
28020156,2
28020155,2
28020154,2
28020153,2
28020152,2
28020151,2
28020150,2
28020149,2
28020148,2
28020147,2
28020146,2
28020145,2
28020144,2
28020143,2
28020142,2
28020141,2
28020140,2
28020139,2
28020138,2
28020137,2
28020136,2
28020135,2
28020134,2
28020133,2
28020132,2
28020131,2
28020130,2
28020129,2
28020128,2
28020127,2
28020126,2
28020125,2
28020124,2
28020123,2
28020122,2
28020121,2
28020120,2
28020119,2
28020118,2
28020117,2
28020116,2
28020115,2
28020114,2
28020113,2
28020112,2
28020111,2
28020110,2
28020109,2
28020108,2
28020107,2
28020106,2
28020105,2
28020104,2
28020103,2
28020102,2
28020101,2
28020100,2
28020099,2
28020098,2
28020097,2
28020096,2
28020095,2
28020094,2
28020093,2
28020092,2
28020091,2
28020090,2
28020089,2
28020088,2
28020087,2
28020086,2
28020085,2
28020084,2
28020083,2
28020082,2
28020081,2
28020080,2
28020079,2
28020078,2
28020077,2
28020076,2
28020075,2
28020074,2
28020073,2
28020072,2
28020071,2
28020070,2
28020069,2
28020068,2
28020067,2
28020066,2
28020065,2
28020064,2
28020063,2
28020062,2
28020061,2
28020060,2
28020059,2
28020058,2
28020057,2
28020056,2
28020055,2
28020054,2
28020053,2
28020052,2
28020051,2
28020050,2
28020049,2
28020048,2
28020047,2
28020046,2
28020045,2
28020044,2
28020043,2
28020042,2
28020041,2
28020040,2
28020039,2
28020038,2
28020037,2
28020036,2
28020035,2
28020034,2
28020033,2
28020032,2
28020031,2
28020030,2
28020029,2
28020028,2
28020027,2
28020026,2
28020025,2
28020024,2
28020023,2
28020019,2
28020018,2
28020017,2
28020016,2
28020015,2
28020014,2
28020013,2
28020012,2
28020011,2
28020010,2
28020009,2
28020008,2
28020007,2
28020006,2
28020005,2
28020004,2
28020003,2
28020002,2
28020001,2
28020000,2
28019999,2
28019998,2
28019997,2
28019996,2
28019995,2
28019994,2
28019993,2
28019992,2
28019991,2
28019990,2
28019989,2
28019988,2
28019987,2
28019986,2
28019985,2
28019984,2
28019983,2
28019980,2
28019979,2
28019978,2
28019977,2
28019976,2
28019975,2
28019974,2
28019973,2
28019972,2
28019971,2
28019970,2
28019969,2
28019968,2
28019967,2
28019966,2
28019965,2
28019964,2
28019963,2
28019962,2
28019961,2
28019960,2
28019959,2
28019958,2
28019957,2
28019956,2
28019955,2
28019954,2
28019953,2
28019952,2
28019951,2
28019950,2
28019949,2
28019948,2
28019947,2
28019946,2
28019945,2
28019944,2
28019943,2
28019942,2
28019941,2
28019940,2
28019939,2
28019938,2
28019937,2
28019936,2
28019935,2
28019934,2
28019933,2
28019932,2
28019931,2
28019930,2
28019929,2
28019928,2
28019927,2
28019926,2
28019925,2
28019924,2
28019923,2
28019922,2
28019921,2
28019920,2
28019919,2
28019918,2
28019917,2
28019916,2
28019915,2
28019914,2
28019913,2
28019912,2
28019911,2
28019910,2
28019909,2
28019908,2
28019907,2
28019906,2
28019905,2
28019904,2
28019903,2
28019902,2
28019901,2
28019900,2
28019899,2
28019898,2
28019897,2
28019896,2
28019895,2
28019894,2
28019893,2
28019892,2
28019891,2
28019890,2
28019889,2
28019888,2
28019887,2
28019886,2
28019885,2
28019884,2
28019883,2
28019882,2
28019881,2
28019880,2
28019879,2
28019878,2
28019877,2
28019876,2
28019875,2
28019874,2
28019873,2
28019872,2
28019871,2
28019870,2
28019869,2
28019868,2
28019867,2
28019866,2
28019865,2
28019864,2
28019863,2
28019862,2
28019861,2
28019860,2
28019859,2
28019858,2
28019857,2
28019856,2
28019855,2
28019854,2
28019853,2
28019852,2
28019851,2
28019850,2
28019849,2
28019848,2
28019847,2
28019846,2
28019845,2
28019844,2
28019843,2
28019842,2
28019841,2
28019840,2
28019839,2
28019838,2
28019837,2
28019836,2
28019835,2
28019834,2
28019833,2
28019832,2
28019831,2
28019830,2
28019829,2
28019828,2
28019827,2
28019826,2
28019825,2
28019824,2
28019823,2
28019822,2
28019821,2
28019820,2
28019819,2
28019818,2
28019817,2
28019816,2
28019815,2
28019814,2
28019813,2
28019812,2
28019811,2
28019810,2
28019809,2
28019808,2
28019807,2
28019806,2
28019805,2
28019804,2
28019803,2
28019802,2
28019801,2
28019800,2
28019799,2
28019798,2
28019797,2
28019796,2
28019795,2
28019794,2
28019793,2
28019792,2
28019791,2
28019790,2
28019789,2
28019788,2
28019787,2
28019786,2
28019785,2
28019784,2
28019783,2
28019782,2
28019781,2
28019780,2
28019779,2
28019778,2
28019777,2
28019776,2
28019775,2
28019774,2
28019773,2
